id,question,predicted,ground_truth,answer_correct,f1,evidence_retrieved,mu_before,mu_after,chi_nli,chi_lexical,chi_entity,chi_combined,rho,coherence,flagged,expected_coherent,explanation,fix_type,fix_query,rag_improved
case_00960,What is cats and dogs are the two?,plants convert sunlight,15000 years ago,0,0.0,1,0.0486,0.0486,0.9753,1.0,0.0,1.0,0.0486,contradicted,1,1,"Answer ""plants convert sunlight"" contradicts the evidence. The NLI model finds that 'plants convert sunlight' semantically contradicts the evidence (NLI score: 0.98); The answer contains words (plants, convert, sunlight) that do not appear in the evidence at all. Evidence says: ""cats and dogs are the two most popular pets in the world. dogs were domesticated about 15000 years ago while cats domesticated themselves about 10000 years ago. the internets favorite debate. dogs are pack animals cats are solitary. both are fine honestly depends on your lifestyle.""",nli,plants convert sunlight What is cats and dogs are the two? plants convert sunlight,0
case_00961,What is frida kahlo was a mexican painter?,kahlo was a mexican painter,kahlo was a mexican painter,1,1.0,1,1.0,1.0,0.0018,0.0,0.0,0.0018,0.0502,coherent,0,0,"Answer ""kahlo was a mexican painter"" is consistent with the evidence.",none,,0
case_00962,What is Photosynthesis is how plants convert sunlight?,sunlight into chemical energy,sunlight into chemical energy,1,1.0,1,0.0722,1.0,0.0027,0.0,0.0,0.0027,0.0481,coherent,0,0,"Answer ""sunlight into chemical energy"" is consistent with the evidence.",lexical,sunlight chemical energy,1
case_00963,What is neural networks are computing systems vaguely?,means having many layers its,means having many layers its,1,1.0,1,0.1334,0.1334,0.3494,0.0,0.0,0.3494,0.0466,weak,0,1,"Answer ""means having many layers its"" may not match the evidence. Partial word overlap with evidence. Evidence: ""neural networks are computing systems vaguely inspired by biological brains. they consist of layers of interconnected nodes called neurons. each connection has a weight that adjusts during training. deep learning means having many layers. its not actually like a brain at all despite the name.""",none,,0
case_00964,What is antarctica is the coldest driest and?,for peaceful scientific research its,for peaceful scientific research its,1,1.0,1,1.0,1.0,0.0017,0.0,0.0,0.0017,0.0513,coherent,0,1,"Answer ""for peaceful scientific research its"" is consistent with the evidence.",none,,0
case_00965,What is pizza originated in naples italy as?,pineapple on pizza,pineapple on pizza,1,1.0,1,1.0,1.0,0.0031,0.0,0.0,0.0031,0.0491,coherent,0,1,"Answer ""pineapple on pizza"" is consistent with the evidence.",none,,0
case_00966,What is frida kahlo was a mexican painter?,considered secure for,whole life she married,0,0.0,1,0.0528,1.0,0.002,0.0,0.0,0.002,0.0528,coherent,0,1,"Answer ""considered secure for"" is consistent with the evidence.",lexical,considered secure,1
case_00967,What is einstein was a theoretical physicist who?,ww2 which historians,theory of relativity his famous,0,0.0,1,0.0514,0.0514,0.9988,1.0,0.0,1.0,0.0514,contradicted,1,1,"Answer ""ww2 which historians"" contradicts the evidence. The NLI model finds that 'ww2 which historians' semantically contradicts the evidence (NLI score: 1.00); The answer contains words (which, historians) that do not appear in the evidence at all. Evidence says: ""einstein was a theoretical physicist who developed the theory of relativity. his famous equation E=mc^2 shows mass and energy are equivalent. he won the nobel prize for the photoelectric effect not relativity. he was a pacifist and jewish refugee who fled nazi germany to the US.""",nli,which historians What is einstein was a theoretical physicist who? ww2 which historians,0
case_00968,What is quantum mechanics describes nature at the?,the wavefunction nobody,the wavefunction nobody,1,1.0,1,0.1012,0.1012,0.5021,0.0,0.0,0.5021,0.0508,weak,0,1,"Answer ""the wavefunction nobody"" contradicts the evidence. The NLI model finds that 'the wavefunction nobody' semantically contradicts the evidence (NLI score: 0.50). Evidence says: ""quantum mechanics describes nature at the atomic and subatomic scale. particles behave as both waves and particles depending on how you measure them. the schrodinger equation describes how quantum states evolve. observation collapses the wavefunction. nobody really understands it says feynman.""",none,,0
case_00969,What is adults need 7-9 hours of sleep?,linked to obesity heart disease,linked to obesity heart disease,1,1.0,1,0.0448,1.0,0.0289,0.0,0.0,0.0289,0.0448,coherent,0,0,"Answer ""linked to obesity heart disease"" is consistent with the evidence.",lexical,linked obesity heart disease,1
case_00970,What is alan turing was a mathematician and?,concept of,concept of,1,1.0,1,0.0599,0.0599,0.8344,0.0,0.0,0.8344,0.0499,contradicted,1,1,"Answer ""concept of"" contradicts the evidence. The NLI model finds that 'concept of' semantically contradicts the evidence (NLI score: 0.83). Evidence says: ""he formalized the concept of computation with the turing machine.""",nli,What is alan turing was a mathematician and? concept of,0
case_00971,What is michael jordan is widely considered the?,the country,the greatest,0,0.0,1,0.0482,1.0,0.0006,0.0,0.0,0.0006,0.0482,coherent,0,1,"Answer ""the country"" is consistent with the evidence.",lexical,country,1
case_00972,What is the internet started as ARPANET a?,direction learning,filled with cat videos and,0,0.0,1,0.0484,1.0,0.0037,0.0,0.0,0.0037,0.0484,coherent,0,1,"Answer ""direction learning"" is consistent with the evidence.",lexical,direction learning,1
case_00973,What is the roman empire at its peak?,cryptography enables secure communication without,cryptography enables secure communication without,1,1.0,1,0.0479,1.0,0.0056,0.0,0.0,0.0056,0.0479,coherent,0,0,"Answer ""cryptography enables secure communication without"" is consistent with the evidence.",lexical,cryptography enables secure communication without,1
case_00974,What is brazil is the largest country in?,unknown,unknown,1,1.0,1,0.0496,0.0496,0.0066,1.0,0.0,1.0,0.0496,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is brazil is the largest country in?""",lexical,unknown,0
case_00975,What is cryptography is the practice of secure?,say shortened,secure communication without,0,0.0,1,0.0488,1.0,0.0027,0.0,0.0,0.0027,0.0488,coherent,0,1,"Answer ""say shortened"" is consistent with the evidence.",lexical,say shortened,1
case_00976,What is the moon is earths only natural?,won nobel,of earth the moon landing,0,0.0,1,0.0498,1.0,0.0114,0.0,0.0,0.0114,0.0498,coherent,0,1,"Answer ""won nobel"" is consistent with the evidence.",lexical,won nobel,1
case_00977,What is gradient descent is the workhorse optimization?,and take,and take,1,1.0,1,0.2004,0.2004,0.2557,0.0,0.0,0.2557,0.0513,weak,0,1,"Answer ""and take"" is consistent with the evidence.",none,,0
case_00978,What is blockchain is a distributed ledger technology?,indentation for,block creating a,0,0.0,1,0.0442,1.0,0.0014,0.0,0.0,0.0014,0.0442,coherent,0,1,"Answer ""indentation for"" is consistent with the evidence.",lexical,indentation,1
case_00979,What is cooking is both an art and?,individuals with advantageous traits survive,individuals with advantageous traits survive,1,1.0,1,0.046,1.0,0.0057,0.0,0.0,0.0057,0.046,coherent,0,0,"Answer ""individuals with advantageous traits survive"" is consistent with the evidence.",lexical,individuals advantageous traits survive,1
case_00980,What is adults need 7-9 hours of sleep?,walk the exploration vs,walk the exploration vs,1,1.0,1,0.0456,1.0,0.0011,0.0,0.0,0.0011,0.0456,coherent,0,0,"Answer ""walk the exploration vs"" is consistent with the evidence.",lexical,walk exploration vs,1
case_00981,What is the industrial revolution started in britain?,python dominates data science and,at first with child,0,0.0,1,0.0548,1.0,0.0007,0.0,0.0,0.0007,0.0548,coherent,0,1,"Answer ""python dominates data science and"" is consistent with the evidence.",lexical,python dominates data science,1
case_00982,What is the earths average temperature has risen?,and relationships while NoSQL databases,and relationships while NoSQL databases,1,1.0,1,0.0498,1.0,0.0013,0.0,0.0,0.0013,0.0498,coherent,0,0,"Answer ""and relationships while NoSQL databases"" is consistent with the evidence.",lexical,relationships nosql databases,1
case_00983,What is evolution by natural selection was proposed?,this drives adaptation,this drives adaptation,1,1.0,1,0.0483,1.0,0.0035,0.0,0.0,0.0035,0.0483,coherent,0,0,"Answer ""this drives adaptation"" is consistent with the evidence.",lexical,this drives adaptation,1
case_00984,What is marie curie was a physicist and?,for painting,in both physics and chemistry,0,0.0,1,0.0509,1.0,0.0017,0.0,0.0,0.0017,0.0509,coherent,0,1,"Answer ""for painting"" is consistent with the evidence.",lexical,painting,1
case_00985,What is linux is a free open source?,by linus,by linus,1,1.0,1,0.0517,1.0,0.0043,0.0,0.0,0.0043,0.0517,coherent,0,0,"Answer ""by linus"" is consistent with the evidence.",lexical,linus,1
case_00986,What is the Earths lithosphere is divided into?,war by years,war by years,1,1.0,1,0.0462,1.0,0.0006,0.0,0.0,0.0006,0.0462,coherent,0,0,"Answer ""war by years"" is consistent with the evidence.",lexical,war years,1
case_00987,What is alan turing was a mathematician and?,unknown,unknown,1,1.0,1,0.0473,0.0473,0.005,1.0,0.0,1.0,0.0473,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is alan turing was a mathematician and?""",lexical,unknown,0
case_00988,What is DNA has a double helix structure?,in 1953 based,in 1953 based,1,1.0,1,1.0,1.0,0.0051,0.0,0.0,0.0051,0.0499,coherent,0,1,"Answer ""in 1953 based"" is consistent with the evidence.",none,,0
case_00989,What is the transformer architecture introduced in 2017?,RNNs BERT,RNNs BERT,1,1.0,1,0.1047,0.1047,0.4996,0.0,0.0,0.4996,0.0523,weak,0,1,"Answer ""RNNs BERT"" may not match the evidence. Partial word overlap with evidence. Evidence: ""the transformer architecture introduced in 2017 by vaswani et al revolutionized NLP. its based on self-attention mechanisms that process all tokens in parallel unlike RNNs. BERT GPT and T5 all use transformers. some people argue theyre just really big matrix multiplications but hey it works.""",none,,0
case_00990,What is da vinci was a renaissance polymath?,unknown,unknown,1,1.0,1,0.0483,0.0483,0.0209,1.0,0.0,1.0,0.0483,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is da vinci was a renaissance polymath?""",lexical,unknown,0
case_00991,What is japan is an island nation in?,Bastille the,largest metropolitan area in the,0,0.0,1,0.0445,1.0,0.0007,0.0,0.0,0.0007,0.0445,coherent,0,1,"Answer ""Bastille the"" is consistent with the evidence.",entity,bastille bastille,1
case_00992,What is databases store organized data.?,databases use various models,databases use various models,1,1.0,1,1.0,1.0,0.0007,0.0,0.0,0.0007,0.0505,coherent,0,1,"Answer ""databases use various models"" is consistent with the evidence.",none,,0
case_00993,What is ww2 lasted from 1939 to 1945?,established afterward to,established afterward to,1,1.0,1,1.0,1.0,0.0021,0.0,0.0,0.0021,0.0491,coherent,0,1,"Answer ""established afterward to"" is consistent with the evidence.",none,,0
case_00994,What is rl is about an agent learning?,learn to,learn to,1,1.0,1,0.0474,0.0474,0.9912,0.0,0.0,0.9912,0.047,contradicted,1,1,"Answer ""learn to"" contradicts the evidence. The NLI model finds that 'learn to' semantically contradicts the evidence (NLI score: 0.99). Evidence says: ""its how alphago beat the world champion and how robots learn to walk.""",nli,What is rl is about an agent learning? learn to,0
case_00995,What is python and javascript are two of?,languages python,languages python,1,1.0,1,1.0,1.0,0.0035,0.0,0.0,0.0035,0.0479,coherent,0,1,"Answer ""languages python"" is consistent with the evidence.",none,,0
case_00996,What is gradient descent is the workhorse optimization?,learning rate matters a,learning rate matters a,1,1.0,1,1.0,1.0,0.0128,0.0,0.0,0.0128,0.048,coherent,0,1,"Answer ""learning rate matters a"" is consistent with the evidence.",none,,0
case_00997,What is the Earths lithosphere is divided into?,with T and,with T and,1,1.0,1,0.0473,0.5477,0.0886,0.0,0.0,0.0886,0.0473,coherent,0,0,"Answer ""with T and"" is consistent with the evidence.",lexical,t,1
case_00998,What is music is a universal human phenomenon?,phenomenon found,phenomenon found,1,1.0,1,1.0,1.0,0.0003,0.0,0.0,0.0003,0.05,coherent,0,1,"Answer ""phenomenon found"" is consistent with the evidence.",none,,0
case_00999,What is einstein was a theoretical physicist who?,his airness was known,the theory of relativity,0,0.0,1,0.0766,1.0,0.0109,0.0,0.0,0.0109,0.051,coherent,0,1,"Answer ""his airness was known"" is consistent with the evidence.",lexical,his airness known,1
case_01000,What is serena williams is one of the?,wars happened in korea vietnam,slam singles,0,0.0,1,0.0493,1.0,0.0022,0.0,0.0,0.0022,0.0493,coherent,0,1,"Answer ""wars happened in korea vietnam"" is consistent with the evidence.",lexical,wars happened korea vietnam,1
case_01001,What is the French Revolution began in 1789?,over and,over and,1,1.0,1,1.0,1.0,0.0036,0.0,0.0,0.0036,0.0494,coherent,0,1,"Answer ""over and"" is consistent with the evidence.",none,,0
case_01002,What is usain bolt is the fastest human?,he won 8 olympic,he won 8 olympic,1,1.0,1,1.0,1.0,0.0002,0.0,0.0,0.0002,0.0489,coherent,0,1,"Answer ""he won 8 olympic"" is consistent with the evidence.",none,,0
case_01003,What is most startups fail within the first?,companies return the entire,companies return the entire,1,1.0,1,0.0536,1.0,0.0185,0.0,0.0,0.0185,0.0536,coherent,0,0,"Answer ""companies return the entire"" is consistent with the evidence.",lexical,companies return entire,1
case_01004,What is coffee is one of the most?,is the largest producer caffeine,is the largest producer caffeine,1,1.0,1,0.0445,1.0,0.0025,0.0,0.0,0.0025,0.0445,coherent,0,0,"Answer ""is the largest producer caffeine"" is consistent with the evidence.",lexical,largest producer caffeine,1
case_01005,What is serena williams is one of the?,creating a chain,sister venus and they dominated,0,0.0,1,0.0496,1.0,0.0005,0.0,0.0,0.0005,0.0496,coherent,0,1,"Answer ""creating a chain"" is consistent with the evidence.",lexical,creating chain,1
case_01006,What is michael jordan is widely considered the?,basketball player ever he won,basketball player ever he won,1,1.0,1,0.0489,1.0,0.0173,0.0,0.0,0.0173,0.0489,coherent,0,0,"Answer ""basketball player ever he won"" is consistent with the evidence.",lexical,basketball player ever he won,1
case_01007,What is the cold war was a period?,you measure them,you measure them,1,1.0,1,0.0499,0.948,0.0497,0.0,0.0,0.0497,0.0499,coherent,0,0,"Answer ""you measure them"" is consistent with the evidence.",lexical,you measure them,1
case_01008,What is cnns dominated computer vision for years?,particles depending,particles depending,1,1.0,1,0.0475,0.0475,0.9532,1.0,0.0,1.0,0.0475,contradicted,1,0,"Answer ""particles depending"" contradicts the evidence. The NLI model finds that 'particles depending' semantically contradicts the evidence (NLI score: 0.95); The answer contains words (particles, depending) that do not appear in the evidence at all. Evidence says: ""cnns dominated computer vision for years with their translation equivariance built in through convolutions. but now vision transformers are giving them a run for their money. image classification object detection segmentation are the main tasks. data augmentation is critical for generalization.""",nli,particles depending What is cnns dominated computer vision for years? particles depending,0
case_01009,What is neural networks are computing systems vaguely?,of layers,of layers,1,1.0,1,1.0,1.0,0.0004,0.0,0.0,0.0004,0.0503,coherent,0,1,"Answer ""of layers"" is consistent with the evidence.",none,,0
case_01010,What is DNA has a double helix structure?,waste products,G A pairs,0,0.0,1,0.0494,1.0,0.0014,0.0,0.0,0.0014,0.0494,coherent,0,1,"Answer ""waste products"" is consistent with the evidence.",lexical,waste products,1
case_01011,What is evolution by natural selection was proposed?,culture she became,culture she became,1,1.0,1,0.0479,1.0,0.0152,0.0,0.0,0.0152,0.0479,coherent,0,0,"Answer ""culture she became"" is consistent with the evidence.",lexical,culture she became,1
case_01012,What is cats and dogs are the two?,unknown,unknown,1,1.0,1,0.0494,0.0494,0.006,1.0,0.0,1.0,0.0494,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is cats and dogs are the two?""",lexical,unknown,0
case_01013,What is frida kahlo was a mexican painter?,to obesity heart,she was in a,0,0.0,1,0.0546,1.0,0.0019,0.0,0.0,0.0019,0.0546,coherent,0,1,"Answer ""to obesity heart"" is consistent with the evidence.",lexical,obesity heart,1
case_01014,What is Photosynthesis is how plants convert sunlight?,6H2O - C6H12O6,6H2O - C6H12O6,1,1.0,1,0.0792,0.0792,0.644,0.0,0.0,0.644,0.051,contradicted,1,1,"Answer ""6H2O - C6H12O6"" contradicts the evidence. The NLI model finds that '6H2O - C6H12O6' semantically contradicts the evidence (NLI score: 0.64). Evidence says: ""Photosynthesis is how plants convert sunlight into chemical energy. it happens in the chloroplasts using chlorophyll. the overall equation is 6CO2 + 6H2O -> C6H12O6 + 6O2. plants are basically solar-powered sugar factories. this process produces the oxygen we breathe.""",nli,What is Photosynthesis is how plants convert sunlight? 6H2O - C6H12O6,0
case_01015,What is neural networks are computing systems vaguely?,by biological,by biological,1,1.0,1,1.0,1.0,0.0013,0.0,0.0,0.0013,0.0467,coherent,0,1,"Answer ""by biological"" is consistent with the evidence.",none,,0
case_01016,What is antarctica is the coldest driest and?,peaceful scientific research its getting,peaceful scientific research its getting,1,1.0,1,0.0541,1.0,0.0201,0.0,0.0,0.0201,0.0541,coherent,0,0,"Answer ""peaceful scientific research its getting"" is consistent with the evidence.",lexical,peaceful scientific research its getting,1
case_01017,What is pizza originated in naples italy as?,flag its,flag its,1,1.0,1,1.0,1.0,0.0021,0.0,0.0,0.0021,0.0513,coherent,0,1,"Answer ""flag its"" is consistent with the evidence.",none,,0
case_01018,What is frida kahlo was a mexican painter?,the loss function and,the loss function and,1,1.0,1,0.0508,1.0,0.0017,0.0,0.0,0.0017,0.0508,coherent,0,0,"Answer ""the loss function and"" is consistent with the evidence.",lexical,loss function,1
case_01019,What is einstein was a theoretical physicist who?,prize for the photoelectric,prize for the photoelectric,1,1.0,1,1.0,1.0,0.0013,0.0,0.0,0.0013,0.0515,coherent,0,1,"Answer ""prize for the photoelectric"" is consistent with the evidence.",none,,0
case_01020,What is quantum mechanics describes nature at the?,nature at the,nature at the,1,1.0,1,1.0,1.0,0.0001,0.0,0.0,0.0001,0.0493,coherent,0,1,"Answer ""nature at the"" is consistent with the evidence.",none,,0
case_01021,What is adults need 7-9 hours of sleep?,often mischaracterized as survival of,clears waste,0,0.0,1,0.0432,1.0,0.0016,0.0,0.0,0.0016,0.0432,coherent,0,1,"Answer ""often mischaracterized as survival of"" is consistent with the evidence.",lexical,often mischaracterized survival,1
case_01022,What is alan turing was a mathematician and?,slowly drifting,slowly drifting,1,1.0,1,0.0504,0.3469,0.1453,0.0,0.0,0.1453,0.0504,coherent,0,0,"Answer ""slowly drifting"" is consistent with the evidence.",lexical,slowly drifting,1
case_01023,What is michael jordan is widely considered the?,the earths,was known for,0,0.0,1,0.0457,1.0,0.001,0.0,0.0,0.001,0.0457,coherent,0,1,"Answer ""the earths"" is consistent with the evidence.",lexical,earths,1
case_01024,What is the internet started as ARPANET a?,individuals with advantageous traits,cat videos and,0,0.0,1,0.0491,1.0,0.0086,0.0,0.0,0.0086,0.0491,coherent,0,1,"Answer ""individuals with advantageous traits"" is consistent with the evidence.",lexical,individuals advantageous traits,1
case_01025,What is the roman empire at its peak?,through greenhouse gas emissions,through greenhouse gas emissions,1,1.0,1,0.049,1.0,0.0054,0.0,0.0,0.0054,0.049,coherent,0,0,"Answer ""through greenhouse gas emissions"" is consistent with the evidence.",lexical,greenhouse gas emissions,1
case_01026,What is brazil is the largest country in?,the amazon rainforest which is,the amazon rainforest which is,1,1.0,1,1.0,1.0,0.0003,0.0,0.0,0.0003,0.0479,coherent,0,1,"Answer ""the amazon rainforest which is"" is consistent with the evidence.",none,,0
case_01027,What is cryptography is the practice of secure?,machine he cracked the enigma,machine he cracked the enigma,1,1.0,1,0.0477,1.0,0.0034,0.0,0.0,0.0034,0.0477,coherent,0,0,"Answer ""machine he cracked the enigma"" is consistent with the evidence.",lexical,machine he cracked enigma,1
case_01028,What is the moon is earths only natural?,languages the war,satellite its about,0,0.0,1,0.0513,1.0,0.0171,0.0,0.0,0.0171,0.0513,coherent,0,1,"Answer ""languages the war"" is consistent with the evidence.",lexical,languages war,1
case_01029,What is gradient descent is the workhorse optimization?,return the entire,the gradient of the loss,0,0.0,1,0.0495,1.0,0.0009,0.0,0.0,0.0009,0.0495,coherent,0,1,"Answer ""return the entire"" is consistent with the evidence.",lexical,return entire,1
case_01030,What is blockchain is a distributed ledger technology?,trustless in practice,trustless in practice,1,1.0,1,1.0,1.0,0.0009,0.0,0.0,0.0009,0.0461,coherent,0,1,"Answer ""trustless in practice"" is consistent with the evidence.",none,,0
case_01031,What is cooking is both an art and?,unknown,unknown,1,1.0,1,0.0517,0.0517,0.0101,1.0,0.0,1.0,0.0517,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is cooking is both an art and?""",lexical,unknown,0
case_01032,What is adults need 7-9 hours of sleep?,people Napoleon eventually took,clears waste products and,0,0.0,1,0.0471,1.0,0.0006,0.0,0.0,0.0006,0.0471,coherent,0,1,"Answer ""people Napoleon eventually took"" is consistent with the evidence.",entity,people napoleon eventually took napoleon,1
case_01033,What is the industrial revolution started in britain?,she played,mechanized textile,0,0.0,1,0.0508,1.0,0.0005,0.0,0.0,0.0005,0.0508,coherent,0,1,"Answer ""she played"" is consistent with the evidence.",lexical,she played,1
case_01034,What is the earths average temperature has risen?,level rise more extreme,level rise more extreme,1,1.0,1,1.0,1.0,0.0003,0.0,0.0,0.0003,0.0452,coherent,0,1,"Answer ""level rise more extreme"" is consistent with the evidence.",none,,0
case_01035,What is evolution by natural selection was proposed?,unknown,unknown,1,1.0,1,0.0469,0.0469,0.0061,1.0,0.0,1.0,0.0469,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is evolution by natural selection was proposed?""",lexical,unknown,0
case_01036,What is marie curie was a physicist and?,casualties the war ended,both physics and chemistry,0,0.0,1,0.0481,1.0,0.0016,0.0,0.0,0.0016,0.0481,coherent,0,1,"Answer ""casualties the war ended"" is consistent with the evidence.",lexical,casualties war ended,1
case_01037,What is linux is a free open source?,android phones,android phones,1,1.0,1,1.0,1.0,0.001,0.0,0.0,0.001,0.0503,coherent,0,1,"Answer ""android phones"" is consistent with the evidence.",none,,0
case_01038,What is the Earths lithosphere is divided into?,when first proposed,when first proposed,1,1.0,1,0.0461,1.0,0.0118,0.0,0.0,0.0118,0.0461,coherent,0,0,"Answer ""when first proposed"" is consistent with the evidence.",lexical,first proposed,1
case_01039,What is alan turing was a mathematician and?,are giving them,the enigma code during,0,0.0,1,0.0469,0.4907,0.0989,0.0,0.0,0.0989,0.0469,coherent,0,1,"Answer ""are giving them"" is consistent with the evidence.",lexical,giving them,1
case_01040,What is DNA has a double helix structure?,most consumed drinks worldwide its,Rosalind Franklin the strands are,0,0.0,1,0.0504,1.0,0.0025,0.0,0.0,0.0025,0.0504,coherent,0,1,"Answer ""most consumed drinks worldwide its"" is consistent with the evidence.",lexical,consumed drinks worldwide its,1
case_01041,What is the transformer architecture introduced in 2017?,the exploration vs exploitation,the exploration vs exploitation,1,1.0,1,0.0517,1.0,0.0055,0.0,0.0,0.0055,0.0517,coherent,0,0,"Answer ""the exploration vs exploitation"" is consistent with the evidence.",lexical,exploration vs exploitation,1
case_01042,What is da vinci was a renaissance polymath?,are computing systems vaguely inspired,hes most,0,0.0,1,0.0498,1.0,0.0018,0.0,0.0,0.0018,0.0498,coherent,0,1,"Answer ""are computing systems vaguely inspired"" is consistent with the evidence.",lexical,computing systems vaguely inspired,1
case_01043,What is japan is an island nation in?,4x100m relay from jamaica,4x100m relay from jamaica,1,1.0,1,0.0457,1.0,0.0007,0.0,0.0,0.0007,0.0457,coherent,0,0,"Answer ""4x100m relay from jamaica"" is consistent with the evidence.",lexical,relay jamaica,1
case_01044,What is databases store organized data.?,her sister venus and,right database depends on,0,0.0,1,0.0496,1.0,0.01,0.0,0.0,0.01,0.0496,coherent,0,1,"Answer ""her sister venus and"" is consistent with the evidence.",lexical,her sister venus,1
case_01045,What is ww2 lasted from 1939 to 1945?,built in through convolutions but,lasted from 1939,0,0.0,1,0.0483,1.0,0.0019,0.0,0.0,0.0019,0.0483,coherent,0,1,"Answer ""built in through convolutions but"" is consistent with the evidence.",lexical,built convolutions,1
case_01046,What is rl is about an agent learning?,beat the world,beat the world,1,1.0,1,0.0506,0.0506,0.9434,0.0,0.0,0.9434,0.0478,contradicted,1,1,"Answer ""beat the world"" contradicts the evidence. The NLI model finds that 'beat the world' semantically contradicts the evidence (NLI score: 0.94). Evidence says: ""its how alphago beat the world champion and how robots learn to walk.""",nli,What is rl is about an agent learning? beat the world,0
case_01047,What is python and javascript are two of?,data science,data science,1,1.0,1,0.0536,1.0,0.0185,0.0,0.0,0.0185,0.0536,coherent,0,0,"Answer ""data science"" is consistent with the evidence.",lexical,data science,1
case_01048,What is gradient descent is the workhorse optimization?,algorithm in,algorithm in,1,1.0,1,1.0,1.0,0.0006,0.0,0.0,0.0006,0.0518,coherent,0,1,"Answer ""algorithm in"" is consistent with the evidence.",none,,0
case_01049,What is the Earths lithosphere is divided into?,centimeters per year driven by,centimeters per year driven by,1,1.0,1,1.0,1.0,0.0034,0.0,0.0,0.0034,0.0522,coherent,0,1,"Answer ""centimeters per year driven by"" is consistent with the evidence.",none,,0
case_01050,What is music is a universal human phenomenon?,algorithms now determine what most,algorithms now determine what most,1,1.0,1,1.0,1.0,0.0024,0.0,0.0,0.0024,0.0508,coherent,0,1,"Answer ""algorithms now determine what most"" is consistent with the evidence.",none,,0
case_01051,What is einstein was a theoretical physicist who?,and 4x100m,a theoretical physicist,0,0.0,1,1.0,1.0,0.0098,0.0,0.0,0.0098,0.0504,coherent,0,1,"Answer ""and 4x100m"" is consistent with the evidence.",none,,0
case_01052,What is serena williams is one of the?,was in a terrible,titles the most,0,0.0,1,0.048,1.0,0.0046,0.0,0.0,0.0046,0.048,coherent,0,1,"Answer ""was in a terrible"" is consistent with the evidence.",lexical,terrible,1
case_01053,What is the French Revolution began in 1789?,jordan is widely,jordan is widely,1,1.0,1,0.0468,1.0,0.0018,0.0,0.0,0.0018,0.0468,coherent,0,0,"Answer ""jordan is widely"" is consistent with the evidence.",lexical,jordan widely,1
case_01054,What is usain bolt is the fastest human?,jamaica he won 8,jamaica he won 8,1,1.0,1,1.0,1.0,0.0002,0.0,0.0,0.0002,0.0489,coherent,0,1,"Answer ""jamaica he won 8"" is consistent with the evidence.",none,,0
case_01055,What is most startups fail within the first?,unknown,unknown,1,1.0,1,0.0555,0.0555,0.0029,1.0,0.0,1.0,0.0555,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is most startups fail within the first?""",lexical,unknown,0
case_01056,What is coffee is one of the most?,worldwide its made from roasted,worldwide its made from roasted,1,1.0,1,0.0428,1.0,0.0016,0.0,0.0,0.0016,0.0428,coherent,0,0,"Answer ""worldwide its made from roasted"" is consistent with the evidence.",lexical,worldwide its made roasted,1
case_01057,What is serena williams is one of the?,over a decade,over a decade,1,1.0,1,0.0474,1.0,0.0095,0.0,0.0,0.0095,0.0474,coherent,0,0,"Answer ""over a decade"" is consistent with the evidence.",lexical,decade,1
case_01058,What is michael jordan is widely considered the?,computers threaten to break current,his airness was known,0,0.0,1,0.0467,1.0,0.0037,0.0,0.0,0.0037,0.0467,coherent,0,1,"Answer ""computers threaten to break current"" is consistent with the evidence.",lexical,computers threaten break current,1
case_01059,What is the cold war was a period?,deep learning,but proxy wars happened,0,0.0,1,0.0543,0.2177,0.2428,0.0,0.0,0.2428,0.0543,weak,0,1,"Answer ""deep learning"" is consistent with the evidence.",lexical,deep learning,0
case_01060,What is cnns dominated computer vision for years?,frida kahlo,frida kahlo,1,1.0,1,0.0484,0.0484,0.7917,1.0,0.0,1.0,0.0484,contradicted,1,0,"Answer ""frida kahlo"" contradicts the evidence. The NLI model finds that 'frida kahlo' semantically contradicts the evidence (NLI score: 0.79); The answer contains words (frida, kahlo) that do not appear in the evidence at all. Evidence says: ""cnns dominated computer vision for years with their translation equivariance built in through convolutions. but now vision transformers are giving them a run for their money. image classification object detection segmentation are the main tasks. data augmentation is critical for generalization.""",nli,frida kahlo What is cnns dominated computer vision for years? frida kahlo,0
case_01061,What is neural networks are computing systems vaguely?,it through greenhouse,interconnected nodes called neurons,0,0.0,1,0.0465,1.0,0.0009,0.0,0.0,0.0009,0.0465,coherent,0,1,"Answer ""it through greenhouse"" is consistent with the evidence.",lexical,it greenhouse,1
